DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
JOHNSON,17,10,MANHATTAN,1829,LEXINGTON AVENUE,1829 LEXINGTON AVENUE,NEW YORK,NY,10029,1087213,1640,21,1016400021,182,MN34,East Harlem North,11,8,68,30,13,40.7965833458049,-73.9425416602887
JOHNSON,17,10,MANHATTAN,1839,LEXINGTON AVENUE,1839 LEXINGTON AVENUE,NEW YORK,NY,10029,1087213,1640,21,1016400021,182,MN34,East Harlem North,11,8,68,30,13,40.7969740323993,-73.9422448509212
KING TOWERS,30,1,MANHATTAN,70,WEST 115TH STREET,70 WEST 115TH STREET,NEW YORK,NY,10026,1083313,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.8009117685314,-73.9497230043743
KING TOWERS,30,2,MANHATTAN,40,WEST 115TH STREET,40 WEST 115TH STREET,NEW YORK,NY,10026,1083318,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.8003402095187,-73.948915008562
KING TOWERS,30,3,MANHATTAN,20,WEST 115TH STREET,20 WEST 115TH STREET,NEW YORK,NY,10026,1083317,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.8001421974699,-73.948440916424
KING TOWERS,30,4,MANHATTAN,1390,5TH AVENUE,1390 5TH AVENUE,NEW YORK,NY,10026,1083316,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.7997208658569,-73.9474426473603
KING TOWERS,30,5,MANHATTAN,70,LENOX AVENUE,70 LENOX AVENUE,NEW YORK,NY,10026,1083314,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.8000413370861,-73.9499364099141
KING TOWERS,30,6,MANHATTAN,1370,5TH AVENUE,1370 5TH AVENUE,NEW YORK,NY,10026,1083315,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.7993047332309,-73.9482363427623
KING TOWERS,30,7,MANHATTAN,71,WEST 112TH STREET,71 WEST 112TH STREET,NEW YORK,NY,10026,1083312,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.7994076003389,-73.9508181709213
KING TOWERS,30,8,MANHATTAN,41,WEST 112TH STREET,41 WEST 112TH STREET,NEW YORK,NY,10026,1083311,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.7992096282896,-73.9497389564656
KING TOWERS,30,9,MANHATTAN,21,WEST 112TH STREET,21 WEST 112TH STREET,NEW YORK,NY,10026,1083310,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.7989625223348,-73.9493011924987
KING TOWERS,30,10,MANHATTAN,1350,5TH AVENUE,1350 5TH AVENUE,NEW YORK,NY,10026,1083309,1596,1,1015960001,186,MN11,Central Harlem South,10,9,68,30,13,40.7985840522296,-73.9482854572823
KINGSBOROUGH,10,1,BROOKLYN,154,KINGSBOROUGH 1ST WALK,154 KINGSBOROUGH 1ST WALK,BROOKLYN,NY,11233,3331187,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6751015525766,-73.9274445488941
KINGSBOROUGH,10,1,BROOKLYN,142,KINGSBOROUGH 1ST WALK,142 KINGSBOROUGH 1ST WALK,BROOKLYN,NY,11233,3331187,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6753818295229,-73.9274212353501
KINGSBOROUGH,10,2,BROOKLYN,120,KINGSBOROUGH 1ST WALK,120 KINGSBOROUGH 1ST WALK,BROOKLYN,NY,11233,3324600,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6759150021256,-73.9273543443653
KINGSBOROUGH,10,2,BROOKLYN,108,KINGSBOROUGH 1ST WALK,108 KINGSBOROUGH 1ST WALK,BROOKLYN,NY,11233,3324600,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6761920992142,-73.9273408638304
KINGSBOROUGH,10,3,BROOKLYN,135,KINGSBOROUGH 1ST WALK,135 KINGSBOROUGH 1ST WALK,BROOKLYN,NY,11233,3324601,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6755239565009,-73.9270730751779
KINGSBOROUGH,10,3,BROOKLYN,127,KINGSBOROUGH 1ST WALK,127 KINGSBOROUGH 1ST WALK,BROOKLYN,NY,11233,3324601,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.675734163563,-73.9270571568368
KINGSBOROUGH,10,4,BROOKLYN,253,KINGSBOROUGH 2ND WALK,253 KINGSBOROUGH 2ND WALK,BROOKLYN,NY,11233,3324603,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.675050871926,-73.9265072539932
KINGSBOROUGH,10,4,BROOKLYN,241,KINGSBOROUGH 2ND WALK,241 KINGSBOROUGH 2ND WALK,BROOKLYN,NY,11233,3324603,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6753317872183,-73.9264868632035
KINGSBOROUGH,10,5,BROOKLYN,219,KINGSBOROUGH 2ND WALK,219 KINGSBOROUGH 2ND WALK,BROOKLYN,NY,11233,3324602,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6758610819068,-73.9264344286718
KINGSBOROUGH,10,5,BROOKLYN,207,KINGSBOROUGH 2ND WALK,207 KINGSBOROUGH 2ND WALK,BROOKLYN,NY,11233,3324602,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6761324369839,-73.9264065182108
KINGSBOROUGH,10,6,BROOKLYN,354,KINGSBOROUGH 3RD WALK,354 KINGSBOROUGH 3RD WALK,BROOKLYN,NY,11233,3331198,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6750596287431,-73.9260158026209
KINGSBOROUGH,10,6,BROOKLYN,342,KINGSBOROUGH 3RD WALK,342 KINGSBOROUGH 3RD WALK,BROOKLYN,NY,11233,3331198,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6753367157064,-73.9259853745726
KINGSBOROUGH,10,7,BROOKLYN,320,KINGSBOROUGH 3RD WALK,320 KINGSBOROUGH 3RD WALK,BROOKLYN,NY,11233,3331197,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6758026773378,-73.9259489468263
KINGSBOROUGH,10,7,BROOKLYN,308,KINGSBOROUGH 3RD WALK,308 KINGSBOROUGH 3RD WALK,BROOKLYN,NY,11233,3331197,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6760797626424,-73.9259160082765
KINGSBOROUGH,10,8,BROOKLYN,353,KINGSBOROUGH 3RD WALK,353 KINGSBOROUGH 3RD WALK,BROOKLYN,NY,11233,3331196,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6750028872478,-73.9256441789175
KINGSBOROUGH,10,8,BROOKLYN,341,KINGSBOROUGH 3RD WALK,341 KINGSBOROUGH 3RD WALK,BROOKLYN,NY,11233,3331196,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6752818898745,-73.9256212767836
KINGSBOROUGH,10,9,BROOKLYN,319,KINGSBOROUGH 3RD WALK,319 KINGSBOROUGH 3RD WALK,BROOKLYN,NY,11233,3331195,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6758171308548,-73.9255613831331
KINGSBOROUGH,10,9,BROOKLYN,307,KINGSBOROUGH 3RD WALK,307 KINGSBOROUGH 3RD WALK,BROOKLYN,NY,11233,3331195,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6760923132792,-73.925540995708
KINGSBOROUGH,10,10,BROOKLYN,454,KINGSBOROUGH 4TH WALK,454 KINGSBOROUGH 4TH WALK,BROOKLYN,NY,11233,3331188,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6750152988856,-73.9251536722645
KINGSBOROUGH,10,10,BROOKLYN,442,KINGSBOROUGH 4TH WALK,442 KINGSBOROUGH 4TH WALK,BROOKLYN,NY,11233,3331188,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.67529047383,-73.9251232428009
KINGSBOROUGH,10,11,BROOKLYN,420,KINGSBOROUGH 4TH WALK,420 KINGSBOROUGH 4TH WALK,BROOKLYN,NY,11233,3331199,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6757546004093,-73.9250750814177
KINGSBOROUGH,10,11,BROOKLYN,408,KINGSBOROUGH 4TH WALK,408 KINGSBOROUGH 4TH WALK,BROOKLYN,NY,11233,3331199,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6760336019967,-73.9250521766458
KINGSBOROUGH,10,12,BROOKLYN,553,KINGSBOROUGH 5TH WALK,553 KINGSBOROUGH 5TH WALK,BROOKLYN,NY,11233,3331200,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.674892359035,-73.923454148235
KINGSBOROUGH,10,12,BROOKLYN,541,KINGSBOROUGH 5TH WALK,541 KINGSBOROUGH 5TH WALK,BROOKLYN,NY,11233,3331200,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6751522537197,-73.923438788469
KINGSBOROUGH,10,12,BROOKLYN,529,KINGSBOROUGH 5TH WALK,529 KINGSBOROUGH 5TH WALK,BROOKLYN,NY,11233,3331200,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6754350676601,-73.9234008123247
KINGSBOROUGH,10,13,BROOKLYN,654,KINGSBOROUGH 6TH WALK,654 KINGSBOROUGH 6TH WALK,BROOKLYN,NY,11233,3324598,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6748785534508,-73.9229055484994
KINGSBOROUGH,10,13,BROOKLYN,642,KINGSBOROUGH 6TH WALK,642 KINGSBOROUGH 6TH WALK,BROOKLYN,NY,11233,3324598,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6751594580152,-73.9228700823095
KINGSBOROUGH,10,13,BROOKLYN,630,KINGSBOROUGH 6TH WALK,630 KINGSBOROUGH 6TH WALK,BROOKLYN,NY,11233,3324598,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6754441961263,-73.9228521827889
KINGSBOROUGH,10,14,BROOKLYN,653,KINGSBOROUGH 6TH WALK,653 KINGSBOROUGH 6TH WALK,BROOKLYN,NY,11233,3324599,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6748338409028,-73.9224737753046
KINGSBOROUGH,10,14,BROOKLYN,641,KINGSBOROUGH 6TH WALK,641 KINGSBOROUGH 6TH WALK,BROOKLYN,NY,11233,3324599,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6751128386206,-73.9224458414533
KINGSBOROUGH,10,14,BROOKLYN,629,KINGSBOROUGH 6TH WALK,629 KINGSBOROUGH 6TH WALK,BROOKLYN,NY,11233,3324599,1344,1,3013440001,307,BK61,Crown Heights North,8,41,56,25,8,40.6753937464204,-73.92241539292
KINGSBOROUGH,10,15,BROOKLYN,720,KINGSBOROUGH 7TH WALK,720 KINGSBOROUGH 7TH WALK,BROOKLYN,NY,11233,3257063,1438,1,3014380001,303,BK79,Ocean Hill,16,41,55,25,8,40.6756048888632,-73.9216757496945
KINGSBOROUGH,10,15,BROOKLYN,708,KINGSBOROUGH 7TH WALK,708 KINGSBOROUGH 7TH WALK,BROOKLYN,NY,11233,3257063,1438,1,3014380001,303,BK79,Ocean Hill,16,41,55,25,8,40.675874341257,-73.9216628826683
KINGSBOROUGH,10,16,BROOKLYN,719,KINGSBOROUGH 7TH WALK,719 KINGSBOROUGH 7TH WALK,BROOKLYN,NY,11233,3257064,1438,1,3014380001,303,BK79,Ocean Hill,16,41,55,25,8,40.6755710339962,-73.9213246694178
KINGSBOROUGH,10,16,BROOKLYN,707,KINGSBOROUGH 7TH WALK,707 KINGSBOROUGH 7TH WALK,BROOKLYN,NY,11233,3257064,1438,1,3014380001,303,BK79,Ocean Hill,16,41,55,25,8,40.6758385668751,-73.9212992514917
KINGSBOROUGH EXTENSION,161,17,BROOKLYN,447,KINGSBOROUGH 4TH WALK,447 KINGSBOROUGH 4TH WALK,BROOKLYN,NY,11233,3035751,1344,175,3013440175,307,BK61,Crown Heights North,8,41,56,25,8,40.6751020071508,-73.9246932895868
LA GUARDIA,76,1,MANHATTAN,45,RUTGERS STREET,45 RUTGERS STREET,NEW YORK,NY,10002,1077514,256,1,1002560001,6,MN28,Lower East Side,3,1,65,26,7,40.7123283617922,-73.9895125495703
LA GUARDIA,76,2,MANHATTAN,55,RUTGERS STREET,55 RUTGERS STREET,NEW YORK,NY,10002,1077515,256,1,1002560001,6,MN28,Lower East Side,3,1,65,26,7,40.7116273382347,-73.98942069605
LA GUARDIA,76,3,MANHATTAN,65,JEFFERSON STREET,65 JEFFERSON STREET,NEW YORK,NY,10002,1077516,256,1,1002560001,6,MN28,Lower East Side,3,1,65,26,7,40.7117571343876,-73.9880075718996
LA GUARDIA,76,4,MANHATTAN,300,CHERRY STREET,300 CHERRY STREET,NEW YORK,NY,10002,1077517,256,1,1002560001,6,MN28,Lower East Side,3,1,65,26,7,40.7118363639027,-73.9873501994944
LA GUARDIA,76,5,MANHATTAN,240,MADISON STREET,240 MADISON STREET,NEW YORK,NY,10002,1077518,256,1,1002560001,6,MN28,Lower East Side,3,1,65,26,7,40.7125005777249,-73.9874393331214
LA GUARDIA,76,6,MANHATTAN,250,CLINTON STREET,250 CLINTON STREET,NEW YORK,NY,10002,1083387,258,1,1002580001,201,MN28,Lower East Side,3,1,65,26,7,40.7119172824047,-73.9864286922632
LA GUARDIA,76,7,MANHATTAN,230,CLINTON STREET,230 CLINTON STREET,NEW YORK,NY,10002,1083384,258,1,1002580001,201,MN28,Lower East Side,3,1,65,26,7,40.7125782646964,-73.9865229086286
LA GUARDIA,76,8,MANHATTAN,340,CHERRY STREET,340 CHERRY STREET,NEW YORK,NY,10002,1083386,258,1,1002580001,201,MN28,Lower East Side,3,1,65,26,7,40.7120081710808,-73.9855564870515
LA GUARDIA,76,9,MANHATTAN,280,MADISON STREET,280 MADISON STREET,NEW YORK,NY,10002,1083385,258,1,1002580001,201,MN28,Lower East Side,3,1,65,26,7,40.7126445491227,-73.9857788680664
LA GUARDIA ADDITION,152,10,MANHATTAN,282,CHERRY STREET,282 CHERRY STREET,NEW YORK,NY,10002,1003211,256,14,1002560014,6,MN28,Lower East Side,3,1,65,26,7,40.7117613303643,-73.9885158346822
LAFAYETTE,122,1,BROOKLYN,325,CLASSON AVENUE,325 CLASSON AVENUE,BROOKLYN,NY,11205,3321871,1938,1,3019380001,233,BK75,Bedford,3,35,57,25,8,40.6900359632867,-73.9599455323717
LAFAYETTE,122,2,BROOKLYN,456,DEKALB AVENUE,456 DEKALB AVENUE,BROOKLYN,NY,11205,3321866,1938,1,3019380001,233,BK75,Bedford,3,35,57,25,8,40.6902969095432,-73.9589918770473
LAFAYETTE,122,3,BROOKLYN,470,DEKALB AVENUE,470 DEKALB AVENUE,BROOKLYN,NY,11205,3346319,1938,1,3019380001,233,BK75,Bedford,3,35,57,25,8,40.6902783828815,-73.9579526466225
LAFAYETTE,122,4,BROOKLYN,345,CLASSON AVENUE,345 CLASSON AVENUE,BROOKLYN,NY,11205,3321865,1938,1,3019380001,233,BK75,Bedford,3,35,57,25,8,40.6893943174579,-73.959846342288
LAFAYETTE,122,5,BROOKLYN,411,LAFAYETTE AVENUE,411 LAFAYETTE AVENUE,BROOKLYN,NY,11238,3339158,1938,1,3019380001,233,BK75,Bedford,3,35,57,25,8,40.6894545709292,-73.9589608992953
LAFAYETTE,122,6,BROOKLYN,415,LAFAYETTE AVENUE,415 LAFAYETTE AVENUE,BROOKLYN,NY,11238,3321869,1938,1,3019380001,233,BK75,Bedford,3,35,57,25,8,40.6894931515548,-73.9586312335698
LAFAYETTE,122,7,BROOKLYN,433,LAFAYETTE AVENUE,433 LAFAYETTE AVENUE,BROOKLYN,NY,11238,3321868,1938,1,3019380001,233,BK75,Bedford,3,35,57,25,8,40.689582560118,-73.9579756316342
LATIMER GARDENS,186,1,QUEENS,34-25,LINDEN PLACE,34-25 LINDEN PLACE,FLUSHING,NY,11354,4443411,4951,8,4049510008,88901,QN22,Flushing,7,20,40,11,6,40.765872505509,-73.8309624229758
LATIMER GARDENS,186,2,QUEENS,136-10,LATIMER PLACE,136-10 LATIMER PLACE,FLUSHING,NY,11354,4443409,4951,8,4049510008,88901,QN22,Flushing,7,20,40,11,6,40.7665546161052,-73.830888911075
LATIMER GARDENS,186,3,QUEENS,34-20,137TH STREET,34-20 137TH STREET,FLUSHING,NY,11354,4443410,4951,8,4049510008,88901,QN22,Flushing,7,20,40,11,6,40.7661182592763,-73.8302711686406
LATIMER GARDENS,186,4,QUEENS,34-41,LINDEN PLACE,34-41 LINDEN PLACE,FLUSHING,NY,11354,4443412,4951,8,4049510008,88901,QN22,Flushing,7,20,40,11,6,40.7654971275446,-73.830458995712
LEAVITT STREET-34TH AVENUE,201,1,QUEENS,139-10,34TH AVENUE,139-10 34TH AVENUE,FLUSHING,NY,11354,4112108,4957,24,4049570024,88901,QN22,Flushing,7,20,40,11,6,40.7670496558288,-73.8286166575935
LEHMAN VILLAGE,101,1,MANHATTAN,1641,MADISON AVENUE,1641 MADISON AVENUE,NEW YORK,NY,10029,1078867,1615,23,1016150023,17401,MN33,East Harlem South,11,8,68,30,13,40.7957235300854,-73.9476647263742
LEHMAN VILLAGE,101,2,MANHATTAN,80,EAST 110TH STREET,80 EAST 110TH STREET,NEW YORK,NY,10029,1078868,1615,23,1016150023,17401,MN33,East Harlem South,11,8,68,30,13,40.7953665636916,-73.9468282884963
LEHMAN VILLAGE,101,3,MANHATTAN,1595,MADISON AVENUE,1595 MADISON AVENUE,NEW YORK,NY,10029,1078857,1613,23,1016130023,17401,MN33,East Harlem South,11,8,68,30,13,40.7945384890017,-73.948528239497
LEHMAN VILLAGE,101,4,MANHATTAN,70,EAST 108TH STREET,70 EAST 108TH STREET,NEW YORK,NY,10029,1078858,1613,23,1016130023,17401,MN33,East Harlem South,11,8,68,30,13,40.794129335273,-73.9477362661195
LENOX ROAD-ROCKAWAY PARKWAY,348,1,BROOKLYN,1142,LENOX ROAD,1142 LENOX ROAD,BROOKLYN,NY,11212,3101906,4671,7,3046710007,890,BK96,Rugby-Remsen Village,17,41,58,20,9,40.6591858454764,-73.9182466121144
LENOX ROAD-ROCKAWAY PARKWAY,348,2,BROOKLYN,1144,LENOX ROAD,1144 LENOX ROAD,BROOKLYN,NY,11212,3101952,4672,1,3046720001,890,BK96,Rugby-Remsen Village,17,41,58,20,9,40.6594062120347,-73.9179193247859
LENOX ROAD-ROCKAWAY PARKWAY,348,3,BROOKLYN,1145,LENOX ROAD,1145 LENOX ROAD,BROOKLYN,NY,11212,3101290,4652,45,3046520045,890,BK96,Rugby-Remsen Village,17,41,55,20,9,40.6597844567452,-73.9183363968107
LEXINGTON,50,1,MANHATTAN,110,EAST 99TH STREET,110 EAST 99TH STREET,NEW YORK,NY,10029,1078911,1626,1,1016260001,166,MN33,East Harlem South,11,5,68,30,13,40.7879665852208,-73.9506628170513
LEXINGTON,50,2,MANHATTAN,1536,LEXINGTON AVENUE,1536 LEXINGTON AVENUE,NEW YORK,NY,10029,1078912,1626,1,1016260001,166,MN33,East Harlem South,11,5,68,30,13,40.7875112467573,-73.950054176827
LEXINGTON,50,3,MANHATTAN,1539,LEXINGTON AVENUE,1539 LEXINGTON AVENUE,NEW YORK,NY,10029,1082319,1626,21,1016260021,166,MN33,East Harlem South,11,5,68,30,13,40.7874557441059,-73.9494525134514
LEXINGTON,50,4,MANHATTAN,183,EAST 98TH STREET,183 EAST 98TH STREET,NEW YORK,NY,10029,1082320,1626,21,1016260021,166,MN33,East Harlem South,11,5,68,30,13,40.7869819771005,-73.9487899012107
LINCOLN,20,1,MANHATTAN,60,EAST 135TH STREET,60 EAST 135TH STREET,NEW YORK,NY,10037,1081120,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.8113658849743,-73.935404538507
LINCOLN,20,2,MANHATTAN,1980,PARK AVENUE,1980 PARK AVENUE,NEW YORK,NY,10037,1081119,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.8105942321934,-73.9356090026465
LINCOLN,20,3,MANHATTAN,1960,PARK AVENUE,1960 PARK AVENUE,NEW YORK,NY,10037,1081118,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.809993925468,-73.936062599026
LINCOLN,20,4,MANHATTAN,2101,MADISON AVENUE,2101 MADISON AVENUE,NEW YORK,NY,10037,1081117,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.8103037759289,-73.9368088734583
LINCOLN,20,5,MANHATTAN,2123,MADISON AVENUE,2123 MADISON AVENUE,NEW YORK,NY,10037,1081123,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.8105855438247,-73.9362874845024
LINCOLN,20,5,MANHATTAN,2121,MADISON AVENUE,2121 MADISON AVENUE,NEW YORK,NY,10037,1081123,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.810760469222,-73.9366504201667
LINCOLN,20,6,MANHATTAN,2135,MADISON AVENUE,2135 MADISON AVENUE,NEW YORK,NY,10037,1081122,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.8111762785568,-73.936354419331
LINCOLN,20,6,MANHATTAN,2133,MADISON AVENUE,2133 MADISON AVENUE,NEW YORK,NY,10037,1081122,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.8110289197114,-73.9359551461547
LINCOLN,20,7,MANHATTAN,2155,MADISON AVENUE,2155 MADISON AVENUE,NEW YORK,NY,10037,1081121,1757,20,1017570020,210,MN34,East Harlem North,11,9,70,30,13,40.8115644618405,-73.9358982437126
LINCOLN,20,8,MANHATTAN,2150,MADISON AVENUE,2150 MADISON AVENUE,NEW YORK,NY,10037,1081112,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8119456744365,-73.9365059625518
LINCOLN,20,8,MANHATTAN,2144,MADISON AVENUE,2144 MADISON AVENUE,NEW YORK,NY,10037,1081112,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8116377051734,-73.9366878103081
LINCOLN,20,9,MANHATTAN,2130,MADISON AVENUE,2130 MADISON AVENUE,NEW YORK,NY,10037,1081114,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8112461785621,-73.9371666293101
LINCOLN,20,10,MANHATTAN,2110,MADISON AVENUE,2110 MADISON AVENUE,NEW YORK,NY,10037,1081115,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8107681705562,-73.9373314197004
LINCOLN,20,10,MANHATTAN,2102,MADISON AVENUE,2102 MADISON AVENUE,NEW YORK,NY,10037,1081115,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8104970293401,-73.9375979497249
LINCOLN,20,11,MANHATTAN,2120,MADISON AVENUE,2120 MADISON AVENUE,NEW YORK,NY,10037,1081116,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8110488131377,-73.9377915098208
LINCOLN,20,12,MANHATTAN,2175,5TH AVENUE,2175 5TH AVENUE,NEW YORK,NY,10037,1081110,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8111811433557,-73.9383890022515
LINCOLN,20,12,MANHATTAN,2177,5TH AVENUE,2177 5TH AVENUE,NEW YORK,NY,10037,1081110,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8114430895918,-73.9381224812604
LINCOLN,20,13,MANHATTAN,2199,5TH AVENUE,2199 5TH AVENUE,NEW YORK,NY,10037,1081111,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8117554308879,-73.9378864715975
LINCOLN,20,13,MANHATTAN,2201,5TH AVENUE,2201 5TH AVENUE,NEW YORK,NY,10037,1081111,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.812068019589,-73.9377409371911
LINCOLN,20,14,MANHATTAN,2140,MADISON AVENUE,2140 MADISON AVENUE,NEW YORK,NY,10037,1081113,1757,1,1017570001,210,MN34,East Harlem North,11,9,70,30,13,40.8117502605378,-73.937279919941
LINDEN,95,1,BROOKLYN,570,STANLEY AVENUE,570 STANLEY AVENUE,BROOKLYN,NY,11207,3324019,4371,1,3043710001,1106,BK82,East New York,5,42,60,19,8,40.657419496201,-73.8872640785948
LINDEN,95,2,BROOKLYN,580,STANLEY AVENUE,580 STANLEY AVENUE,BROOKLYN,NY,11207,3324020,4371,1,3043710001,1106,BK82,East New York,5,42,60,19,8,40.657633504528,-73.8867455873812
LINDEN,95,3,BROOKLYN,630,STANLEY AVENUE,630 STANLEY AVENUE,BROOKLYN,NY,11207,3324015,4371,1,3043710001,1106,BK82,East New York,5,42,60,19,8,40.6583541121757,-73.8850679207522
LINDEN,95,4,BROOKLYN,640,STANLEY AVENUE,640 STANLEY AVENUE,BROOKLYN,NY,11207,3324018,4371,1,3043710001,1106,BK82,East New York,5,42,60,19,8,40.6585514960776,-73.8846248485373
LINDEN,95,5,BROOKLYN,245,WORTMAN AVENUE,245 WORTMAN AVENUE,BROOKLYN,NY,11207,3324016,4371,1,3043710001,1106,BK82,East New York,5,42,60,19,8,40.6577744062512,-73.8842949486855
LINDEN,95,6,BROOKLYN,225,WORTMAN AVENUE,225 WORTMAN AVENUE,BROOKLYN,NY,11207,3324017,4371,1,3043710001,1106,BK82,East New York,5,42,60,19,8,40.6573739845545,-73.885142860502
LINDEN,95,7,BROOKLYN,215,WORTMAN AVENUE,215 WORTMAN AVENUE,BROOKLYN,NY,11207,3324022,4371,1,3043710001,1106,BK82,East New York,5,42,60,19,8,40.6571778945905,-73.8855959980505
LINDEN,95,8,BROOKLYN,185,WORTMAN AVENUE,185 WORTMAN AVENUE,BROOKLYN,NY,11207,3324021,4371,1,3043710001,1106,BK82,East New York,5,42,60,19,8,40.6568561423528,-73.8864146651197
LINDEN,95,9,BROOKLYN,180,WORTMAN AVENUE,180 WORTMAN AVENUE,BROOKLYN,NY,11207,3337066,4393,1,3043930001,1106,BK82,East New York,5,42,60,19,8,40.6559959350561,-73.8861155009482
LINDEN,95,10,BROOKLYN,190,WORTMAN AVENUE,190 WORTMAN AVENUE,BROOKLYN,NY,11207,3337067,4393,1,3043930001,1106,BK82,East New York,5,42,60,19,8,40.6561922296687,-73.885660519723
LINDEN,95,11,BROOKLYN,240,WORTMAN AVENUE,240 WORTMAN AVENUE,BROOKLYN,NY,11207,3337068,4393,1,3043930001,1106,BK82,East New York,5,42,60,19,8,40.6569059877284,-73.8839982010944
LINDEN,95,12,BROOKLYN,250,WORTMAN AVENUE,250 WORTMAN AVENUE,BROOKLYN,NY,11207,3337069,4393,1,3043930001,1106,BK82,East New York,5,42,60,19,8,40.6570985525515,-73.8835400898778
LINDEN,95,13,BROOKLYN,245,COZINE AVENUE,245 COZINE AVENUE,BROOKLYN,NY,11207,3337065,4393,1,3043930001,1106,BK82,East New York,5,42,60,19,8,40.6563297594188,-73.8833094484245
LINDEN,95,14,BROOKLYN,215,COZINE AVENUE,215 COZINE AVENUE,BROOKLYN,NY,11207,3337062,4393,1,3043930001,1106,BK82,East New York,5,42,60,19,8,40.6562046072232,-73.8845309634203
