DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
AMSTERDAM,22,6,MANHATTAN,210,WEST 64TH STREET,210 WEST 64TH STREET,NEW YORK,NY,10023,1082579,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7736324474473,-73.9864118674577
AMSTERDAM,22,6,MANHATTAN,216,WEST 64TH STREET,216 WEST 64TH STREET,NEW YORK,NY,10023,1082579,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7738678634549,-73.9863682713873
AMSTERDAM,22,7,MANHATTAN,228,WEST 62ND STREET,228 WEST 62ND STREET,NEW YORK,NY,10023,1082580,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.773016370351,-73.9876031820327
AMSTERDAM,22,8,MANHATTAN,229,WEST 62ND STREET,229 WEST 62ND STREET,NEW YORK,NY,10023,1082581,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7731490941777,-73.9874994742281
AMSTERDAM,22,8,MANHATTAN,228,WEST 63RD STREET,228 WEST 63RD STREET,NEW YORK,NY,10023,1082581,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7734470271069,-73.987291355865
AMSTERDAM,22,9,MANHATTAN,242,WEST 62ND STREET,242 WEST 62ND STREET,NEW YORK,NY,10023,1082583,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7732326273255,-73.988110152189
AMSTERDAM,22,10,MANHATTAN,241,WEST 62ND STREET,241 WEST 62ND STREET,NEW YORK,NY,10023,1082582,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7733657808643,-73.9880210690687
AMSTERDAM,22,10,MANHATTAN,242,WEST 63RD STREET,242 WEST 63RD STREET,NEW YORK,NY,10023,1082582,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7736600336103,-73.9877887591009
AMSTERDAM,22,11,MANHATTAN,249,WEST 61ST STREET,249 WEST 61ST STREET,NEW YORK,NY,10023,1082584,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7727934211922,-73.9891193515327
AMSTERDAM,22,11,MANHATTAN,250,WEST 61ST DRIVE,250 WEST 61ST DRIVE,NEW YORK,NY,10023,1082584,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7730619300242,-73.9889257626589
